confidence,id,metadata,source_id,target_id,type
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 37}",NotPetya,2017,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 23}",BadRabbit,2017,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 33}",Microsoft,Mimikatz,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 10}",Mimikatz,Microsoft,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 25}",2014-93434251-04ac,"target=""_blank",related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 95}","target=""_blank",May 13,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 2}",Credential Guard.</p>\n,>Credential Guard,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 85}",Credential Guard.</p>\n,Microsoft,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 97}",Credential Guard.</p>\n,Windows Hardware Compatibility Program Specifications,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 66}",>Credential Guard,Microsoft,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 78}",>Credential Guard,Windows Hardware Compatibility Program Specifications,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 3}",Microsoft,Windows Hardware Compatibility Program Specifications,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 89}",Microsoft,2016,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 98}",Microsoft,Windows Server Semi-Annual,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 33}",Windows Hardware Compatibility Program Specifications,2016,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 42}",Windows Hardware Compatibility Program Specifications,Windows Server Semi-Annual,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 88}",Windows Hardware Compatibility Program Specifications,li,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 5}",2016,Windows Server Semi-Annual,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 51}",2016,li,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 20}",Windows Server Semi-Annual,li,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 6}",Microsoft,"href=""https://learn.microsoft.com",related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 5}",Windows 10,Windows,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 63}",Mimikatz,end_char=14141,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 92}",end_char=14141,Mimikatz,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 63}",Mimikatz,end_char=14305,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 92}",end_char=14305,Mimikatz,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 5}",Mimikatz,Entity(text='PowerShell Empire',related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 33}",Area Network',end_char=14911,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 49}",Area Network',confidence=1.0,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 2}",end_char=14911,confidence=1.0,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 50}",XP,confidence=1.0,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 76}",confidence=1.0,2003,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 5}",Mimikatz,Entity(text='PowerShell,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 78}",Invoke-Mimikatz',confidence=1.0,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 76}",confidence=1.0,Mimikatz,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 82}",Mimikatz,confidence=1.0,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 76}",confidence=1.0,several year',related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 56}",several year',end_char=15614,related_to
